"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 23 18:15:09 AMT 2021","Fri Apr 23 18:16:45 AMT 2021","95842","","Test.TaskPage","","Test.TaskPage","dailyyReportPopup","dailyyReportPopup()",""
"passed","Fri Apr 30 15:43:48 AMT 2021","Fri Apr 30 15:45:02 AMT 2021","74141","","Test.TaskPage","","Test.TaskPage","ProjectTag","ProjectTag()",""
"broken","Fri Apr 23 18:10:50 AMT 2021","Fri Apr 23 18:12:39 AMT 2021","108518","","Test.TaskPage","","Test.TaskPage","ClickViewButton","ClickViewButton()",""
"broken","Fri Apr 23 18:13:33 AMT 2021","Fri Apr 23 18:15:09 AMT 2021","95813","","Test.TaskPage","","Test.TaskPage","ClickViewButtonChangeTime","ClickViewButtonChangeTime()",""
"broken","Wed May 05 10:43:15 AMT 2021","Wed May 05 10:45:08 AMT 2021","112572","","Test.TaskPage","","Test.TaskPage","dailyReportPopup","dailyReportPopup()",""
"passed","Fri Apr 23 17:57:19 AMT 2021","Fri Apr 23 17:57:26 AMT 2021","7095","","Test.LoginPage","","Test.LoginPage","NegativePass","NegativePass()",""
"broken","Fri Apr 23 18:12:39 AMT 2021","Fri Apr 23 18:13:33 AMT 2021","54707","","Test.TaskPage","","Test.TaskPage","ClickViewButtonChangeName","ClickViewButtonChangeName()",""
"broken","Tue May 18 17:24:50 AMT 2021","Tue May 18 17:26:41 AMT 2021","111590","","Test.TaskPage","","Test.TaskPage","ProjectTags","ProjectTags()",""
"broken","Fri Apr 23 18:18:47 AMT 2021","Fri Apr 23 18:20:24 AMT 2021","96495","","Test.TaskPage","","Test.TaskPage","ManualMode","ManualMode()",""
"broken","Thu May 20 10:04:06 AMT 2021","Thu May 20 10:04:10 AMT 2021","3956","","Test.TaskPage","","Test.TaskPage","groupTusk","groupTusk()",""
"broken","Fri Apr 30 15:49:40 AMT 2021","Fri Apr 30 15:51:15 AMT 2021","95423","","Test.TaskPage","","Test.TaskPage","AddATag","AddATag()",""
"passed","Sun May 02 17:56:04 AMT 2021","Sun May 02 17:57:06 AMT 2021","62038","","Test.TaskPage","","Test.TaskPage","TuskPlay","TuskPlay()",""
"broken","Thu May 20 10:07:16 AMT 2021","Thu May 20 10:08:50 AMT 2021","93277","","Test.TaskPage","","Test.TaskPage","TheTasksTablePlayButton","TheTasksTablePlayButton()",""
"broken","Fri Apr 23 18:08:58 AMT 2021","Fri Apr 23 18:10:50 AMT 2021","112174","","Test.TaskPage","","Test.TaskPage","RunTask","RunTask()",""
"passed","Fri Apr 23 18:04:37 AMT 2021","Fri Apr 23 18:04:50 AMT 2021","13108","","Test.LoginPage","","Test.LoginPage","Positive","Positive()",""
"passed","Thu May 20 10:53:32 AMT 2021","Thu May 20 10:55:01 AMT 2021","88989","","Test.TaskPage","","Test.TaskPage","dailyReportPopupValidData","dailyReportPopupValidData()",""
"passed","Fri Apr 23 17:58:14 AMT 2021","Fri Apr 23 17:58:22 AMT 2021","8007","","Test.LoginPage","","Test.LoginPage","Negative","Negative()",""
"broken","Thu May 20 10:02:28 AMT 2021","Thu May 20 10:04:06 AMT 2021","97251","","Test.TaskPage","","Test.TaskPage","AddATagName","AddATagName()",""
"passed","Fri Apr 23 17:57:08 AMT 2021","Fri Apr 23 17:57:19 AMT 2021","10530","","Test.LoginPage","","Test.LoginPage","NegativeEmail","NegativeEmail()",""
